Fecha,Nivel
2013-4-30,46.50
2013-5-1,46.50
2013-5-2,46.50
2013-5-3,46.50
2013-5-4,46.50
2013-5-5,46.50
2013-5-6,46.50
2013-5-7,46.50
2013-5-8,46.50
2013-5-9,46.50
2013-5-10,46.50
2013-5-11,46.40
2013-5-12,46.40
2013-5-13,46.40
2013-5-14,46.40
2013-5-15,46.40
2013-5-16,46.40
2013-5-17,46.40
2013-5-18,46.40
2013-5-19,46.30
2013-5-20,46.30
2013-5-21,46.30
2013-5-22,46.30
2013-5-23,46.20
2013-5-24,46.20
2013-5-25,46.20
2013-5-26,46.10
2013-5-27,46.10
2013-5-28,46.00
2013-5-29,46.00
2013-5-30,46.00
2013-5-31,45.90
2013-6-1,45.90
2013-6-2,45.90
2013-6-3,45.80
2013-6-4,45.80
2013-6-5,45.80
2013-6-6,45.80
2013-6-7,45.70
2013-6-8,45.70
2013-6-9,45.70
2013-6-10,45.60
2013-6-11,45.60
2013-6-12,45.60
2013-6-13,45.50
2013-6-14,45.50
2013-6-15,45.50
2013-6-16,45.50
2013-6-17,45.40
2013-6-18,45.40
2013-6-19,45.40
2013-6-20,45.30
2013-6-21,45.30
2013-6-22,45.20
2013-6-23,45.20
2013-6-24,45.20
2013-6-25,45.20
2013-6-26,45.10
2013-6-27,45.10
2013-6-28,45.10
2013-6-29,45.00
2013-6-30,45.00
2013-7-1,45.00
2013-7-2,45.00
2013-7-3,44.90
2013-7-4,44.90
2013-7-5,44.80
2013-7-6,44.80
2013-7-7,44.80
2013-7-8,44.80
2013-7-9,44.70
2013-7-10,44.70
2013-7-11,44.70
2013-7-12,44.70
